     #Energy        Pd_d
    -8.31815     0.00000
    -8.30115     0.00000
    -8.28415     0.00000
    -8.26815     0.00000
    -8.25115     0.00000
    -8.23415     0.00000
    -8.21815     0.00000
    -8.20115     0.00000
    -8.18415     0.00000
    -8.16815     0.00000
    -8.15115     0.00000
    -8.13415     0.00000
    -8.11815     0.00000
    -8.10115     0.00000
    -8.08415     0.00000
    -8.06815     0.00000
    -8.05115     0.00000
    -8.03515     0.00000
    -8.01815     0.00000
    -8.00115     0.00000
    -7.98515     0.00000
    -7.96815     0.00000
    -7.95115     0.00000
    -7.93515     0.00000
    -7.91815     0.00000
    -7.90115     0.00000
    -7.88515     0.00000
    -7.86815     0.00000
    -7.85115     0.00000
    -7.83515     0.00000
    -7.81815     0.00000
    -7.80115     0.00000
    -7.78515     0.00000
    -7.76815     0.00000
    -7.75115     0.00000
    -7.73515     0.00000
    -7.71815     0.00000
    -7.70215     0.00000
    -7.68515     0.00000
    -7.66815     0.00000
    -7.65215     0.00000
    -7.63515     0.00000
    -7.61815     0.00000
    -7.60215     0.00000
    -7.58515     0.00000
    -7.56815     0.00000
    -7.55215     0.00000
    -7.53515     0.00000
    -7.51815     0.00000
    -7.50215     0.00000
    -7.48515     0.00000
    -7.46815     0.00000
    -7.45215     0.00000
    -7.43515     0.00000
    -7.41815     0.00000
    -7.40215     0.00000
    -7.38515     0.00000
    -7.36815     0.00000
    -7.35215     0.00000
    -7.33515     0.00000
    -7.31915     0.00000
    -7.30215     0.00000
    -7.28515     0.00000
    -7.26915     0.00000
    -7.25215     0.00000
    -7.23515     0.00000
    -7.21915     0.00000
    -7.20215     0.00000
    -7.18515     0.00000
    -7.16915     0.00000
    -7.15215     0.00000
    -7.13515     0.00000
    -7.11915     0.00000
    -7.10215     0.00000
    -7.08515     0.00000
    -7.06915     0.00000
    -7.05215     0.00000
    -7.03515     0.00000
    -7.01915     0.00000
    -7.00215     0.00000
    -6.98615     0.00000
    -6.96915     0.00000
    -6.95215     0.00000
    -6.93615     0.00000
    -6.91915     0.00000
    -6.90215     0.00000
    -6.88615     0.00000
    -6.86915     0.00000
    -6.85215     0.00000
    -6.83615     0.00000
    -6.81915     0.00000
    -6.80215     0.00000
    -6.78615     0.00000
    -6.76915     0.00000
    -6.75215     0.00000
    -6.73615     0.00000
    -6.71915     0.00000
    -6.70215     0.00000
    -6.68615     0.00000
    -6.66915     0.00000
    -6.65315     0.00000
    -6.63615     0.00000
    -6.61915     0.00000
    -6.60315     0.00000
    -6.58615     0.00000
    -6.56915     0.00000
    -6.55315     0.00000
    -6.53615     0.00000
    -6.51915     0.00000
    -6.50315     0.00000
    -6.48615     0.00000
    -6.46915     0.00000
    -6.45315     0.00000
    -6.43615     0.00000
    -6.41915     0.00000
    -6.40315     0.00000
    -6.38615     0.00000
    -6.36915     0.00000
    -6.35315     0.00000
    -6.33615     0.00000
    -6.31915     0.00000
    -6.30315     0.00499
    -6.28615     0.01063
    -6.27015     0.00757
    -6.25315     0.00817
    -6.23615     0.00878
    -6.22015     0.00940
    -6.20315     0.01002
    -6.18615     0.01039
    -6.17015     0.01030
    -6.15315     0.01023
    -6.13615     0.01069
    -6.12015     0.01122
    -6.10315     0.01176
    -6.08615     0.01230
    -6.07015     0.01285
    -6.05315     0.01341
    -6.03615     0.01398
    -6.02015     0.01490
    -6.00315     0.01574
    -5.98615     0.01660
    -5.97015     0.01747
    -5.95315     0.01835
    -5.93715     0.01926
    -5.92015     0.02018
    -5.90315     0.02112
    -5.88715     0.02206
    -5.87015     0.02302
    -5.85315     0.02399
    -5.83715     0.02497
    -5.82015     0.02706
    -5.80315     0.02943
    -5.78715     0.03146
    -5.77015     0.03325
    -5.75315     0.03506
    -5.73715     0.03689
    -5.72015     0.03875
    -5.70315     0.04062
    -5.68715     0.04252
    -5.67015     0.05731
    -5.65315     0.05542
    -5.63715     0.05346
    -5.62015     0.05143
    -5.60415     0.04934
    -5.58715     0.04717
    -5.57015     0.10738
    -5.55415     0.08541
    -5.53715     0.06264
    -5.52015     0.03906
    -5.50415     0.02428
    -5.48715     0.03739
    -5.47015     0.05081
    -5.45415     0.06452
    -5.43715     0.07853
    -5.42015     0.09284
    -5.40415     0.10746
    -5.38715     0.12237
    -5.37015     0.08849
    -5.35415     0.09368
    -5.33715     0.09894
    -5.32015     0.10426
    -5.30415     0.10964
    -5.28715     0.28489
    -5.27115     0.60240
    -5.25415     0.26684
    -5.23715     0.43985
    -5.22115     0.36618
    -5.20415     0.38956
    -5.18715     0.41498
    -5.17115     0.44657
    -5.15415     0.47840
    -5.13715     0.49583
    -5.12115     0.49957
    -5.10415     0.51965
    -5.08715     0.62543
    -5.07115     0.73008
    -5.05415     0.72197
    -5.03715     0.61391
    -5.02115     0.50439
    -5.00415     0.39348
    -4.98715     1.02347
    -4.97115     0.64919
    -4.95415     0.32305
    -4.93715     0.45311
    -4.92115     0.58794
    -4.90415     1.09158
    -4.88815     1.39125
    -4.87115     1.37023
    -4.85415     1.35111
    -4.83815     1.33377
    -4.82115     1.31821
    -4.80415     1.40780
    -4.78815     1.73745
    -4.77115     2.55947
    -4.75415     4.03059
    -4.73815     8.58354
    -4.72115     3.28984
    -4.70415    19.55460
    -4.68815    15.18263
    -4.67115    10.61023
    -4.65415    12.20492
    -4.63815    16.80177
    -4.62115    14.26457
    -4.60415    17.85177
    -4.58815    12.95161
    -4.57115    17.61094
    -4.55515    25.67706
    -4.53815    28.11393
    -4.52115    22.92680
    -4.50515    41.80237
    -4.48815    26.78994
    -4.47115    23.04399
    -4.45515    21.96352
    -4.43815    27.30149
    -4.42115    49.22147
    -4.40515    20.74286
    -4.38815    36.58674
    -4.37115    37.61940
    -4.35515    36.49361
    -4.33815    46.00973
